(216.50635094610965, 325.0)
(519.6152422706632, 100.0)
(606.217782649107, 200.0)
(995.9292143521044, 475.0)
(259.8076211353316, 600.0)
(476.31397208144125, 225.0)
(173.20508075688772, 400.0)
(303.1088913245535, 175.0)
(909.3266739736605, 225.0)
(519.6152422706632, 150.0)
(129.9038105676658, 675.0)
(173.20508075688772, 750.0)
(476.31397208144125, 725.0)
(822.7241335952167, 175.0)
(519.6152422706632, 700.0)
(216.50635094610965, 175.0)
(433.0127018922193, 750.0)
(649.519052838329, 375.0)
(822.7241335952167, 625.0)
(649.519052838329, 75.0)
(736.1215932167728, 875.0)
(476.31397208144125, 425.0)
(216.50635094610965, 375.0)
(909.3266739736605, 525.0)
(952.6279441628825, 500.0)
(173.20508075688772, 850.0)
(259.8076211353316, 200.0)
(303.1088913245535, 825.0)
(822.7241335952167, 225.0)
(86.60254037844386, 600.0)
(736.1215932167728, 425.0)
(303.1088913245535, 225.0)
(216.50635094610965, 575.0)
(779.4228634059947, 700.0)
(822.7241335952167, 725.0)
(173.20508075688772, 250.0)
(606.217782649107, 150.0)
(389.71143170299734, 75.0)
(692.8203230275509, 300.0)
(216.50635094610965, 275.0)
(173.20508075688772, 500.0)
(129.9038105676658, 725.0)
(519.6152422706632, 900.0)
(476.31397208144125, 975.0)
(216.50635094610965, 475.0)
(606.217782649107, 750.0)
(433.0127018922193, 550.0)
(909.3266739736605, 775.0)
(692.8203230275509, 750.0)
(736.1215932167728, 525.0)
(779.4228634059947, 500.0)
(389.71143170299734, 25.0)
(389.71143170299734, 825.0)
(909.3266739736605, 375.0)
(952.6279441628825, 600.0)
(995.9292143521044, 525.0)
(389.71143170299734, 375.0)
(519.6152422706632, 250.0)
(389.71143170299734, 475.0)
(346.41016151377545, 700.0)
(433.0127018922193, 850.0)
(43.30127018922193, 675.0)
(649.519052838329, 275.0)
(433.0127018922193, 950.0)
(649.519052838329, 175.0)
(692.8203230275509, 650.0)
(519.6152422706632, 200.0)
(692.8203230275509, 50.0)
(909.3266739736605, 575.0)
(173.20508075688772, 200.0)
(346.41016151377545, 650.0)
(606.217782649107, 350.0)
(779.4228634059947, 300.0)
(562.9165124598851, 925.0)
(866.0254037844386, 350.0)
(649.519052838329, 25.0)
(822.7241335952167, 475.0)
(606.217782649107, 800.0)
(779.4228634059947, 600.0)
(476.31397208144125, 875.0)
(736.1215932167728, 775.0)
(43.30127018922193, 375.0)
(779.4228634059947, 100.0)
(346.41016151377545, 200.0)
(259.8076211353316, 550.0)
(303.1088913245535, 925.0)
(866.0254037844386, 450.0)
(649.519052838329, 925.0)
(736.1215932167728, 475.0)
(346.41016151377545, 450.0)
(822.7241335952167, 325.0)
(952.6279441628825, 650.0)
(129.9038105676658, 425.0)
(129.9038105676658, 525.0)
(173.20508075688772, 700.0)
(692.8203230275509, 800.0)
(259.8076211353316, 500.0)
(519.6152422706632, 850.0)
(476.31397208144125, 75.0)
(259.8076211353316, 400.0)
(866.0254037844386, 400.0)
(173.20508075688772, 800.0)
(606.217782649107, 850.0)
(433.0127018922193, 150.0)
(173.20508075688772, 350.0)
(606.217782649107, 600.0)
(389.71143170299734, 175.0)
(129.9038105676658, 475.0)
(346.41016151377545, 300.0)
(995.9292143521044, 575.0)
(952.6279441628825, 400.0)
(909.3266739736605, 725.0)
(649.519052838329, 425.0)
(649.519052838329, 725.0)
(389.71143170299734, 975.0)
(216.50635094610965, 725.0)
(346.41016151377545, 800.0)
(433.0127018922193, 650.0)
(129.9038105676658, 225.0)
(519.6152422706632, 650.0)
(562.9165124598851, 775.0)
(259.8076211353316, 700.0)
(649.519052838329, 475.0)
(476.31397208144125, 925.0)
(303.1088913245535, 425.0)
(303.1088913245535, 275.0)
(86.60254037844386, 750.0)
(779.4228634059947, 400.0)
(736.1215932167728, 575.0)
(736.1215932167728, 625.0)
(519.6152422706632, 0.0)
(562.9165124598851, 25.0)
(909.3266739736605, 625.0)
(606.217782649107, 700.0)
(216.50635094610965, 225.0)
(259.8076211353316, 750.0)
(433.0127018922193, 250.0)
(389.71143170299734, 925.0)
(779.4228634059947, 350.0)
(692.8203230275509, 700.0)
(129.9038105676658, 775.0)
(346.41016151377545, 550.0)
(346.41016151377545, 950.0)
(43.30127018922193, 575.0)
(649.519052838329, 675.0)
(562.9165124598851, 275.0)
(562.9165124598851, 425.0)
(822.7241335952167, 425.0)
(86.60254037844386, 350.0)
(173.20508075688772, 600.0)
(736.1215932167728, 825.0)
(519.6152422706632, 800.0)
(476.31397208144125, 775.0)
(216.50635094610965, 875.0)
(866.0254037844386, 300.0)
(433.0127018922193, 100.0)
(389.71143170299734, 775.0)
(736.1215932167728, 175.0)
(952.6279441628825, 700.0)
(519.6152422706632, 750.0)
(562.9165124598851, 825.0)
(389.71143170299734, 875.0)
(649.519052838329, 625.0)
(173.20508075688772, 450.0)
(389.71143170299734, 525.0)
(86.60254037844386, 400.0)
(433.0127018922193, 350.0)
(519.6152422706632, 950.0)
(649.519052838329, 325.0)
(86.60254037844386, 650.0)
(346.41016151377545, 900.0)
(692.8203230275509, 400.0)
(692.8203230275509, 250.0)
(216.50635094610965, 625.0)
(866.0254037844386, 200.0)
(389.71143170299734, 325.0)
(346.41016151377545, 350.0)
(129.9038105676658, 275.0)
(692.8203230275509, 100.0)
(736.1215932167728, 75.0)
(519.6152422706632, 400.0)
(476.31397208144125, 175.0)
(216.50635094610965, 425.0)
(303.1088913245535, 75.0)
(389.71143170299734, 225.0)
(606.217782649107, 950.0)
(519.6152422706632, 500.0)
(519.6152422706632, 450.0)
(692.8203230275509, 550.0)
(649.519052838329, 775.0)
(606.217782649107, 400.0)
(476.31397208144125, 825.0)
(303.1088913245535, 625.0)
(433.0127018922193, 700.0)
(86.60254037844386, 300.0)
(259.8076211353316, 250.0)
(866.0254037844386, 550.0)
(519.6152422706632, 550.0)
(519.6152422706632, 50.0)
(259.8076211353316, 300.0)
(822.7241335952167, 775.0)
(822.7241335952167, 275.0)
(606.217782649107, 900.0)
(562.9165124598851, 175.0)
(259.8076211353316, 100.0)
(649.519052838329, 575.0)
(433.0127018922193, 800.0)
(909.3266739736605, 475.0)
(606.217782649107, 250.0)
(86.60254037844386, 250.0)
(259.8076211353316, 150.0)
(822.7241335952167, 375.0)
(476.31397208144125, 125.0)
(952.6279441628825, 550.0)
(606.217782649107, 500.0)
(433.0127018922193, 300.0)
(129.9038105676658, 375.0)
(779.4228634059947, 250.0)
(692.8203230275509, 450.0)
(86.60254037844386, 550.0)
(216.50635094610965, 825.0)
(43.30127018922193, 325.0)
(129.9038105676658, 175.0)
(519.6152422706632, 300.0)
(43.30127018922193, 625.0)
(606.217782649107, 300.0)
(649.519052838329, 125.0)
(476.31397208144125, 325.0)
(259.8076211353316, 900.0)
(303.1088913245535, 875.0)
(562.9165124598851, 875.0)
(736.1215932167728, 925.0)
(86.60254037844386, 500.0)
(866.0254037844386, 800.0)
(866.0254037844386, 650.0)
(866.0254037844386, 500.0)
(433.0127018922193, 500.0)
(692.8203230275509, 350.0)
(216.50635094610965, 675.0)
(562.9165124598851, 525.0)
(736.1215932167728, 375.0)
(649.519052838329, 225.0)
(346.41016151377545, 750.0)
(866.0254037844386, 700.0)
(173.20508075688772, 150.0)
(303.1088913245535, 375.0)
(346.41016151377545, 100.0)
(173.20508075688772, 300.0)
(909.3266739736605, 425.0)
(562.9165124598851, 125.0)
(692.8203230275509, 500.0)
(129.9038105676658, 825.0)
(909.3266739736605, 325.0)
(476.31397208144125, 375.0)
(606.217782649107, 650.0)
