(389.71143170299734, 425.0)
(519.6152422706632, 250)
(216.50635094610965, 175.0)
(692.8203230275509, 600)
(433.0127018922193, 200)
(216.50635094610965, 375.0)
(606.217782649107, 700)
(476.31397208144125, 925.0)
(649.519052838329, 325.0)
(476.31397208144125, 675.0)
(476.31397208144125, 725.0)
(692.8203230275509, 850)
(736.1215932167728, 675.0)
(476.31397208144125, 875.0)
(779.4228634059947, 650)
(606.217782649107, 900)
(86.60254037844386, 600)
(519.6152422706632, 500)
(822.7241335952167, 875.0)
(692.8203230275509, 300)
(129.9038105676658, 425.0)
(649.519052838329, 525.0)
(909.3266739736605, 375.0)
(779.4228634059947, 350)
(129.9038105676658, 725.0)
(736.1215932167728, 325.0)
(346.41016151377545, 350)
(562.9165124598851, 525.0)
(259.8076211353316, 750)
(822.7241335952167, 275.0)
(86.60254037844386, 650)
(866.0254037844386, 300)
(692.8203230275509, 550)
(86.60254037844386, 300)
(606.217782649107, 100)
(259.8076211353316, 200)
(606.217782649107, 600)
(606.217782649107, 500)
(346.41016151377545, 250)
(216.50635094610965, 475.0)
(606.217782649107, 200)
(952.6279441628825, 300)
(346.41016151377545, 400)
(909.3266739736605, 625.0)
(779.4228634059947, 800)
(649.519052838329, 225.0)
(433.0127018922193, 800)
(216.50635094610965, 875.0)
(433.0127018922193, 550)
(909.3266739736605, 325.0)
(952.6279441628825, 600)
(606.217782649107, 1000)
(259.8076211353316, 650)
(649.519052838329, 875.0)
(173.20508075688772, 600)
(346.41016151377545, 950)
(736.1215932167728, 525.0)
(866.0254037844386, 400)
(822.7241335952167, 225.0)
(736.1215932167728, 225.0)
(822.7241335952167, 675.0)
(346.41016151377545, 450)
(649.519052838329, 725.0)
(736.1215932167728, 925.0)
(216.50635094610965, 275.0)
(433.0127018922193, 850)
(216.50635094610965, 125.0)
(909.3266739736605, 275.0)
(389.71143170299734, 675.0)
(86.60254037844386, 450)
(779.4228634059947, 300)
(433.0127018922193, 450)
(519.6152422706632, 200)
(692.8203230275509, 950)
(909.3266739736605, 575.0)
(259.8076211353316, 800)
(866.0254037844386, 850)
(433.0127018922193, 400)
(779.4228634059947, 500)
(389.71143170299734, 575.0)
(433.0127018922193, 700)
(476.31397208144125, 475.0)
(736.1215932167728, 725.0)
(173.20508075688772, 800)
(43.30127018922193, 475.0)
(779.4228634059947, 850)
(43.30127018922193, 775.0)
(519.6152422706632, 50)
(129.9038105676658, 225.0)
(433.0127018922193, 150)
(259.8076211353316, 700)
(476.31397208144125, 375.0)
(389.71143170299734, 475.0)
(346.41016151377545, 650)
(779.4228634059947, 250)
(692.8203230275509, 500)
(303.1088913245535, 925.0)
(43.30127018922193, 725.0)
(43.30127018922193, 525.0)
(216.50635094610965, 575.0)
(173.20508075688772, 350)
(129.9038105676658, 575.0)
(303.1088913245535, 575.0)
(779.4228634059947, 450)
(606.217782649107, 800)
(562.9165124598851, 25.0)
(519.6152422706632, 350)
(519.6152422706632, 600)
(692.8203230275509, 150)
(736.1215932167728, 975.0)
(562.9165124598851, 675.0)
(476.31397208144125, 525.0)
(692.8203230275509, 100)
(389.71143170299734, 825.0)
(259.8076211353316, 150)
(0, 600)
(562.9165124598851, 75.0)
(995.9292143521044, 625.0)
(86.60254037844386, 350)
(389.71143170299734, 25.0)
(822.7241335952167, 375.0)
(606.217782649107, 50)
(866.0254037844386, 250)
(43.30127018922193, 425.0)
(866.0254037844386, 650)
(346.41016151377545, 550)
(389.71143170299734, 275.0)
(389.71143170299734, 75.0)
(736.1215932167728, 875.0)
(389.71143170299734, 25.0)
(952.6279441628825, 550)
(692.8203230275509, 50)
(519.6152422706632, 450)
(259.8076211353316, 250)
(736.1215932167728, 575.0)
(216.50635094610965, 825.0)
(433.0127018922193, 350)
(909.3266739736605, 425.0)
(86.60254037844386, 700)
(389.71143170299734, 125.0)
(952.6279441628825, 650)
(303.1088913245535, 675.0)
(259.8076211353316, 550)
(649.519052838329, 575.0)
(259.8076211353316, 350)
(173.20508075688772, 150)
(562.9165124598851, 125.0)
(562.9165124598851, 275.0)
(866.0254037844386, 700)
(779.4228634059947, 200)
(303.1088913245535, 175.0)
(562.9165124598851, 375.0)
(866.0254037844386, 550)
(476.31397208144125, 625.0)
(692.8203230275509, 750)
(389.71143170299734, 175.0)
(995.9292143521044, 575.0)
(779.4228634059947, 550)
(606.217782649107, 400)
(952.6279441628825, 750)
(433.0127018922193, 100)
(562.9165124598851, 925.0)
(86.60254037844386, 400)
(519.6152422706632, 0)
(259.8076211353316, 600)
(562.9165124598851, 625.0)
(606.217782649107, 950)
(476.31397208144125, 275.0)
(606.217782649107, 250)
(433.0127018922193, 50)
(389.71143170299734, 525.0)
(779.4228634059947, 700)
(606.217782649107, 150)
(909.3266739736605, 225.0)
(866.0254037844386, 450)
(346.41016151377545, 850)
(649.519052838329, 775.0)
(909.3266739736605, 675.0)
(649.519052838329, 975.0)
(995.9292143521044, 425.0)
(736.1215932167728, 375.0)
(173.20508075688772, 500)
(303.1088913245535, 875.0)
(303.1088913245535, 325.0)
(476.31397208144125, 575.0)
(216.50635094610965, 625.0)
(173.20508075688772, 300)
(562.9165124598851, 575.0)
(303.1088913245535, 125.0)
(736.1215932167728, 825.0)
(346.41016151377545, 600)
(303.1088913245535, 425.0)
(476.31397208144125, 225.0)
(346.41016151377545, 300)
(476.31397208144125, 975.0)
(822.7241335952167, 325.0)
(129.9038105676658, 825.0)
(389.71143170299734, 375.0)
(173.20508075688772, 400)
(433.0127018922193, 600)
(822.7241335952167, 475.0)
(519.6152422706632, 300)
(303.1088913245535, 375.0)
(519.6152422706632, 950)
(649.519052838329, 175.0)
(606.217782649107, 450)
(389.71143170299734, 875.0)
(173.20508075688772, 250)
(736.1215932167728, 175.0)
(822.7241335952167, 575.0)
(692.8203230275509, 650)
